Symbol,Date,Open,High,Low,Close,Volume
DWTM,20190308,0.00,1.70,1.70,1.70,0
DSIL,20190308,2.84,2.84,2.70,2.70,37500
FZCM,20190308,157.00,157.00,155.00,156.33,300
GADT,20190308,245.04,245.04,236.50,236.80,1000
IDYM,20190308,475.00,475.00,475.00,474.50,50
JATM,20190308,4.00,4.00,4.00,4.00,500
KOSM,20190308,2.22,2.25,2.22,2.23,43000
LMSM,20190308,0.00,6.75,6.75,7.28,12500
NCML,20190308,3.65,3.65,3.65,3.65,7000
OML,20190308,7.85,7.90,7.52,7.52,3500
RAVT,20190308,2.90,2.90,2.90,2.90,500
SAIF,20190308,16.30,16.30,14.81,14.98,8000
SJTM,20190308,0.00,2.83,2.83,3.08,500
SALT,20190308,176.76,176.76,176.76,186.06,100
SLYT,20190308,5.00,5.10,5.00,5.10,6000
SNAI,20190308,46.00,46.00,46.00,46.00,3000
SSML,20190308,4.40,4.40,4.00,4.10,19500
SUTM,20190308,0.00,197.00,197.00,188.20,100
UNITY,20190308,17.56,17.64,16.82,17.06,2227500
TATM,20190308,37.50,38.44,37.50,38.44,3000
FML,20190308,102.10,103.96,99.20,103.33,512500
PRWM,20190308,27.00,27.00,27.00,27.00,9000
SMTM,20190308,3.68,3.68,3.68,3.68,500
SERF,20190308,3.90,3.93,3.84,3.84,18500
YOUW,20190308,2.85,2.85,2.62,2.80,30500
ADMM,20190308,65.00,65.00,65.00,65.00,2000
ARUJ,20190308,17.00,18.00,17.00,18.00,1000
CRTM,20190308,22.36,23.00,22.26,22.39,9000
NCL,20190308,52.45,52.69,52.00,52.16,516000
REWM,20190308,29.45,29.45,29.45,29.45,500
GATM,20190308,56.50,56.94,55.99,56.05,103000
JUBS,20190308,3.50,3.65,3.50,3.65,14500
KOIL,20190308,3.71,3.85,3.71,3.85,3000
KTML,20190308,39.53,39.53,39.00,39.40,7000
ANL,20190308,12.71,12.76,12.50,12.52,103000
MTIL,20190308,3.02,3.16,3.02,3.16,4000
NML,20190308,138.00,139.45,137.00,137.98,104600
REDCO,20190308,3.35,3.40,3.14,3.16,38500
SFAT,20190308,3.99,4.00,3.99,4.00,6500
SURC,20190308,130.00,130.00,130.00,126.00,100
BNWM,20190308,48.00,48.50,47.00,47.00,6000
AGL,20190308,4.84,4.84,4.60,4.65,294500
IBFL,20190308,58.05,60.00,57.01,60.00,183000
PSYL,20190308,0.00,22.50,22.50,22.50,0
TRPOL,20190308,11.50,11.70,11.30,11.40,77500
THALL,20190308,441.98,441.98,431.50,432.00,2100
ADAMS,20190308,26.13,27.74,26.10,26.10,2000
AABS,20190308,185.02,190.45,185.01,190.45,600
AGSML,20190308,3.24,3.25,3.08,3.10,27500
ALNRS,20190308,0.00,43.00,43.00,44.50,1000
ANSM,20190308,8.26,8.50,8.26,8.50,7000
CHAS,20190308,39.05,40.10,39.05,40.10,1000
EFOODS,20190308,75.00,75.00,73.00,73.26,132500
HABSM,20190308,35.50,35.50,35.50,35.50,61000
HWQS,20190308,3.60,3.75,3.60,3.68,8500
HSM,20190308,16.90,16.90,16.90,16.90,500
HSMR2,20190308,5.88,6.10,5.09,5.78,62000
JDWS,20190308,299.15,313.89,299.15,302.84,800
SKRS,20190308,23.20,23.50,23.07,23.07,91000
SHJS,20190308,50.45,50.45,50.45,50.45,1000
SHSML,20190308,0.00,105.00,105.00,106.00,200
ACPL,20190308,98.21,99.77,97.05,98.11,12500
BWCL,20190308,118.00,119.50,117.00,118.12,5700
CHCC,20190308,68.94,68.94,67.00,67.56,88500
DNCC,20190308,13.00,13.00,12.40,12.41,3500
DGKC,20190308,90.40,90.99,89.35,89.67,958500
AKZO,20190308,138.00,138.00,134.00,134.00,3500
POWER,20190308,7.90,7.90,7.70,7.84,251500
FCCL,20190308,21.35,21.35,20.98,21.06,2016000
FECTC,20190308,28.99,29.47,28.70,28.70,7500
FLYNG,20190308,14.95,14.95,13.70,13.70,11000
GWLC,20190308,15.20,15.50,15.20,15.50,2000
KOHC,20190308,87.30,88.85,87.00,87.26,15000
LUCK,20190308,467.00,467.25,456.57,459.95,449100
MLCF,20190308,41.40,41.40,40.62,40.84,749000
DCL,20190308,11.91,11.95,11.56,11.67,354000
PIOC,20190308,40.00,40.00,38.85,39.08,480500
THCCL,20190308,13.00,13.00,12.76,12.81,31000
KHTC,20190308,287.00,287.00,287.00,287.00,200
PMPK,20190308,3100.00,3128.89,3100.00,3128.89,80
ATRL,20190308,119.70,120.32,117.30,117.77,400700
BYCO,20190308,8.84,8.84,8.64,8.67,288500
NRL,20190308,195.00,195.00,188.30,189.20,228000
PRL,20190308,23.01,23.01,22.50,22.59,227000
EPQL,20190308,28.00,28.00,28.00,28.00,2500
AEL,20190308,4.00,4.00,4.00,4.00,500
HUBC,20190308,85.10,85.10,83.01,83.27,596500
KEL,20190308,6.10,6.12,5.99,6.01,4466000
KOHP,20190308,1.85,1.85,1.85,1.85,1000
LPL,20190308,15.50,15.55,15.50,15.55,12000
KAPCO,20190308,46.75,46.75,44.03,46.02,339500
NCPL,20190308,22.50,22.99,22.25,22.80,27000
NPL,20190308,24.40,24.40,23.80,24.00,6500
PKGP,20190308,15.60,15.80,15.60,15.70,250000
SPWL,20190308,23.75,23.83,23.55,23.79,15500
TSPL,20190308,3.11,3.98,3.07,3.65,60000
APL,20190308,414.27,418.00,411.01,417.00,2000
PSO,20190308,225.99,225.99,218.00,221.26,567200
BPL,20190308,33.01,34.74,33.00,33.00,6500
SHEL,20190308,258.52,258.52,258.52,258.52,5300
SSGC,20190308,22.85,22.95,22.50,22.60,699000
SNGP,20190308,74.82,74.82,73.25,73.59,467500
HASCOL,20190308,144.00,145.45,142.02,142.26,57500
HTL,20190308,50.10,50.34,49.50,49.89,23500
MARI,20190308,1314.00,1315.00,1295.00,1298.32,17840
OGDC,20190308,146.49,146.58,145.00,145.08,1261000
POL,20190308,475.98,477.75,465.00,470.39,359600
PPL,20190308,179.02,180.73,177.10,178.10,413100
ADOS,20190308,26.96,26.96,26.96,26.96,500
ASL,20190308,10.06,10.09,9.85,9.88,214000
ASTL,20190308,41.50,42.39,41.00,41.08,320500
DSL,20190308,5.50,5.60,5.41,5.51,260000
CSAP,20190308,46.00,46.05,46.00,46.02,12500
DKL,20190308,3.45,3.50,3.45,3.47,2500
HSPI,20190308,17.70,17.70,17.50,17.59,6000
INIL,20190308,138.01,138.74,138.00,138.03,9400
ISL,20190308,66.00,66.00,64.60,64.90,346000
ITTEFAQ,20190308,10.38,10.38,9.97,10.07,379000
MUGHAL,20190308,39.05,39.45,39.05,39.09,53000
PECO,20190308,155.00,155.00,155.00,157.04,100
AGTL,20190308,454.90,459.00,441.50,447.75,2350
DFML,20190308,13.44,13.50,13.24,13.26,260000
GAIL,20190308,6.15,6.15,6.05,6.06,62000
GHNI,20190308,213.00,213.00,202.03,202.03,541600
GHNL,20190308,91.50,91.52,87.00,87.49,492200
HINO,20190308,455.00,455.00,455.00,455.00,100
HCAR,20190308,259.02,259.02,248.00,259.02,1552200
INDU,20190308,1349.00,1390.50,1338.00,1390.50,114640
MTL,20190308,805.00,816.00,800.00,811.12,9300
PSMC,20190308,328.99,344.00,325.00,340.41,842900
SAZEW,20190308,237.89,241.90,237.89,239.30,1500
AGIL,20190308,250.01,250.01,250.00,250.00,14700
ATBA,20190308,140.85,140.85,140.00,140.00,4100
EXIDE,20190308,187.02,187.02,183.00,184.00,400
GTYR,20190308,69.51,70.19,67.50,68.18,98000
LOADS,20190308,22.00,22.00,21.75,21.80,74000
JOPP,20190308,48.50,48.50,48.50,48.50,500
PAEL,20190308,24.10,24.16,23.50,23.58,2480500
TPL,20190308,5.73,5.96,5.63,5.83,392500
AVN,20190308,69.40,70.40,68.90,69.90,178000
WAVES,20190308,25.15,25.25,25.00,25.04,29000
SIEM,20190308,751.00,751.00,747.00,751.00,150
PNSC,20190308,62.76,62.76,62.76,62.76,4500
PIBTL,20190308,10.60,10.60,10.35,10.41,1273000
PICT,20190308,210.01,210.01,210.00,210.00,300
PIAA,20190308,6.28,6.45,6.16,6.19,780500
HUMNL,20190308,4.60,4.70,4.51,4.60,18000
NETSOL,20190308,83.11,83.50,81.00,81.62,434000
MDTL,20190308,1.18,1.29,1.18,1.24,27000
SYS,20190308,105.00,110.43,101.18,103.41,24300
PTC,20190308,9.75,9.80,9.65,9.74,188500
TRG,20190308,24.00,24.00,23.30,23.50,2097000
TELE,20190308,1.53,1.55,1.51,1.55,69500
WTL,20190308,1.37,1.40,1.30,1.32,12473000
DAWH,20190308,124.00,124.00,122.00,122.06,49300
ENGRO,20190308,325.21,325.70,318.00,320.53,253800
EFERT,20190308,74.30,74.50,73.90,73.99,513500
FFBL,20190308,39.15,39.15,38.51,38.77,113500
FFC,20190308,107.00,107.00,105.16,106.02,166000
ABOT,20190308,606.05,636.00,585.00,625.10,11100
AGP,20190308,82.89,83.75,81.14,81.27,25500
FEROZ,20190308,205.00,205.50,195.16,200.47,347800
GLAXO,20190308,145.01,150.00,143.50,148.67,109700
GSKCH,20190308,315.00,316.16,315.00,316.15,600
HINOON,20190308,318.40,318.50,315.00,315.54,3700
SAPL,20190308,870.00,899.00,840.01,854.09,700
OTSU,20190308,188.00,188.00,188.00,188.00,200
SEARL,20190308,246.50,249.89,242.31,247.27,496700
WYETH,20190308,1200.00,1223.00,1195.00,1200.67,820
BAPL,20190308,5.50,5.50,5.35,5.35,2500
BIFO,20190308,204.86,204.90,204.86,204.88,200
BUXL,20190308,40.89,40.89,37.05,39.00,1500
ARPL,20190308,565.00,569.99,565.00,569.99,200
COLG,20190308,2030.00,2030.00,2030.00,2030.00,20
CTM,20190308,4.09,4.09,3.80,3.96,16000
DOL,20190308,23.30,23.30,22.56,22.66,858500
DAAG,20190308,11.35,12.60,11.35,11.61,1500
DYNO,20190308,95.50,95.50,91.75,92.12,2500
EPCL,20190308,37.05,37.05,36.61,36.75,217000
FATIMA,20190308,32.49,32.49,31.60,31.60,2000
GGL,20190308,11.95,11.95,11.75,11.87,41000
ICI,20190308,650.01,696.10,650.00,683.10,5600
ICL,20190308,32.00,33.38,31.75,31.79,37000
PGCL,20190308,114.01,114.01,114.01,119.90,100
LOTCHEM,20190308,14.90,14.99,14.70,14.78,960000
PPVC,20190308,3.44,3.49,3.08,3.39,18500
NICL,20190308,61.00,61.00,61.00,61.00,500
NRSL,20190308,7.70,7.79,7.55,7.70,168500
SARC,20190308,17.75,18.00,17.25,17.63,9500
SITC,20190308,315.00,315.00,315.00,315.00,100
SPL,20190308,22.85,23.00,22.47,22.50,90500
WAHN,20190308,244.00,244.00,244.00,244.00,700
CEPB,20190308,50.10,50.10,50.10,50.10,500
CPPL,20190308,150.00,150.00,146.20,147.57,11800
MERIT,20190308,22.20,22.75,22.20,22.73,79500
PKGS,20190308,370.00,370.00,355.50,360.37,4600
RPL,20190308,20.44,20.44,19.65,19.82,37000
SEPL,20190308,93.80,93.80,93.80,93.80,1000
BATA,20190308,1838.00,1838.45,1820.00,1838.45,2160
ASC,20190308,22.20,22.20,21.10,21.21,292500
PREMA,20190308,27.95,28.50,27.25,28.24,744000
CLOV,20190308,160.00,164.49,157.00,160.35,8000
IBLHL,20190308,48.10,48.60,48.01,48.50,3000
MACTER,20190308,112.00,112.00,108.00,108.19,700
MFL,20190308,31.11,31.11,30.01,30.03,149000
MFFL,20190308,273.00,273.38,273.00,273.38,7500
MUREB,20190308,800.00,810.00,800.00,809.54,3850
NATF,20190308,196.00,197.00,187.11,188.33,3900
FFL,20190308,29.75,30.10,29.31,29.48,953000
QUICE,20190308,4.24,4.30,4.23,4.24,20000
SCL,20190308,232.00,232.00,232.00,226.25,100
TREET,20190308,22.50,22.51,22.20,22.35,42500
BGL,20190308,7.80,7.86,7.67,7.70,76000
EMCO,20190308,22.33,22.55,22.33,22.55,42000
FRCL,20190308,17.90,18.00,17.90,17.97,86500
GHGL,20190308,49.50,49.90,49.50,49.50,5500
GGGL,20190308,9.31,9.31,9.21,9.21,29500
TGL,20190308,100.20,101.40,100.00,100.67,25000
STCL,20190308,13.74,13.95,13.73,13.86,95500
GAMON,20190308,10.10,10.50,10.10,10.18,2500
AKGL,20190308,8.05,8.05,8.05,8.05,500
MACFL,20190308,18.00,18.48,18.00,18.48,2000
ECOP,20190308,14.51,14.55,14.25,14.50,10500
PACE,20190308,2.51,2.71,2.51,2.64,30500
PSEL,20190308,972.00,972.00,972.00,972.00,100
AKDCL,20190308,110.79,110.86,110.79,110.81,400
SHFA,20190308,204.00,210.00,204.00,207.71,5800
STPL,20190308,20.10,20.10,19.50,19.62,452500
TRIPF,20190308,106.00,106.00,106.00,106.00,500
UBDL,20190308,29.90,30.09,29.42,30.08,40500
HBLTFC,20190308,0.00,0.00,0.00,98.42,0
BAFLTFC5,20190308,0.00,0.00,0.00,99.96,0
MCBTFC2,20190308,0.00,0.00,0.00,100.02,0
KELSC4,20190308,0.00,0.00,0.00,101.21,0
FATIMASC,20190308,0.00,0.00,0.00,100.76,0
BYCOSC,20190308,0.00,0.00,0.00,99.00,0
AKBLTFC6,20190308,0.00,0.00,0.00,100.00,0
DAWHSC1,20190308,0.00,99.00,99.00,99.12,1000
DAWHSC2,20190308,0.00,0.00,0.00,99.63,0
UBLTFC5,20190308,0.00,0.00,0.00,100.00,0
AICL-MAR,20190308,0.00,0.00,0.00,43.87,0
ATRL-MAR,20190308,120.00,120.10,117.90,118.67,723000
SPL-MAR,20190308,0.00,0.00,0.00,22.69,0
